id,title,source_type,year,intensity,tags,meme_status,license_type,license_url,attribution_required,attribution_text,notes,approved,filename,analysis_descriptor,analysis_vibe,analysis_tags,analysis_primary_note,analysis_tones,analysis_source_file,analysis_intensity
ytb-JYEaAehLoQs-c040,The Most Hysterical Screaming and Fainting Goats! (clip 040),viral_video,2019,8,goat|scream|clip,emerging,fair_use,https://www.youtube.com/watch?v=JYEaAehLoQs,true,Clip courtesy of Floofz Inc.,Segment from The Most Hysterical Screaming and Fainting Goats! curated 2025-10-16,true,,long multi-bleat steady wavy scream,alarm,steady|vibrato|multi-bleat|wide-range,D#6,D5|C#5|D4|D6|E5,Originals/The Most Hysterical Screaming and Fainting Goats! [JYEaAehLoQs].mp3,8
ytb-ujt0cs52bTQ-c024,Screaming Goats Compilation (clip 024),viral_video,2013,6,goat|scream|clip,emerging,fair_use,https://www.youtube.com/watch?v=ujt0cs52bTQ,true,Clip courtesy of achrafo med,Segment from Screaming Goats Compilation curated 2025-10-16,true,,long multi-bleat steady wavy scream,frantic / chattery,steady|vibrato|multi-bleat|wide-range,F4,F4 (primary)|F#4|F3|A#2|F5,Originals/Screaming Goats Compilation [ujt0cs52bTQ].mp3,6
ytb-ujt0cs52bTQ-c022,Screaming Goats Compilation (clip 022),viral_video,2013,6,goat|scream|clip,emerging,fair_use,https://www.youtube.com/watch?v=ujt0cs52bTQ,true,Clip courtesy of achrafo med,Segment from Screaming Goats Compilation curated 2025-10-16,true,,long multi-bleat steady wavy scream,frantic / chattery,steady|vibrato|multi-bleat|wide-range,F4,F4 (primary)|F#4|F3|A#2|F5,Originals/Screaming Goats Compilation [ujt0cs52bTQ].mp3,6
ytb-ujt0cs52bTQ-c018,Screaming Goats Compilation (clip 018),viral_video,2013,6,goat|scream|clip,emerging,fair_use,https://www.youtube.com/watch?v=ujt0cs52bTQ,true,Clip courtesy of achrafo med,Segment from Screaming Goats Compilation curated 2025-10-16,true,,long multi-bleat steady wavy scream,frantic / chattery,steady|vibrato|multi-bleat|wide-range,F4,F4 (primary)|F#4|F3|A#2|F5,Originals/Screaming Goats Compilation [ujt0cs52bTQ].mp3,6
ytb-vWudCZ_EZEk-c010,Ranking The Funniest Goat Sounds (clip 010),viral_video,2025,6,goat|scream|clip,emerging,fair_use,https://www.youtube.com/watch?v=vWudCZ_EZEk,true,Clip courtesy of JustSomePets,Segment from Ranking The Funniest Goat Sounds curated 2025-10-16,true,,long multi-bleat steady wavy scream,frantic / chattery,steady|vibrato|multi-bleat|wide-range,E4,G#4|G#5|G#3|B4|E3,Originals/Ranking The Funniest Goat Sounds [vWudCZ_EZEk].mp3,6
ytb-nlYlNF30bVg-c009,Funny Goats Screaming like Humans (clip 009),viral_video,2013,6,goat|scream|clip,emerging,fair_use,https://www.youtube.com/watch?v=nlYlNF30bVg,true,Clip courtesy of Your Daily Laugh,Segment from Funny Goats Screaming like Humans curated 2025-10-16,true,,long multi-bleat steady wavy scream,frantic / chattery,steady|vibrato|multi-bleat|wide-range,F#4,E3|D#3|D3|C#3|C5,Originals/Funny Goats Screaming like Humans [nlYlNF30bVg].mp3,6
ytb-nlYlNF30bVg-c008,Funny Goats Screaming like Humans (clip 008),viral_video,2013,6,goat|scream|clip,emerging,fair_use,https://www.youtube.com/watch?v=nlYlNF30bVg,true,Clip courtesy of Your Daily Laugh,Segment from Funny Goats Screaming like Humans curated 2025-10-16,true,,long multi-bleat steady wavy scream,frantic / chattery,steady|vibrato|multi-bleat|wide-range,F#4,E3|D#3|D3|C#3|C5,Originals/Funny Goats Screaming like Humans [nlYlNF30bVg].mp3,6
ytb-nlYlNF30bVg-c002,Funny Goats Screaming like Humans (clip 002),viral_video,2013,6,goat|scream|clip,emerging,fair_use,https://www.youtube.com/watch?v=nlYlNF30bVg,true,Clip courtesy of Your Daily Laugh,Segment from Funny Goats Screaming like Humans curated 2025-10-16,true,,long multi-bleat steady wavy scream,frantic / chattery,steady|vibrato|multi-bleat|wide-range,F#4,E3|D#3|D3|C#3|C5,Originals/Funny Goats Screaming like Humans [nlYlNF30bVg].mp3,6
ytb-Vw2jisSc47M-c001,Baby Goat Screaming (clip 001),viral_video,2023,4,goat|scream|clip,emerging,fair_use,https://www.youtube.com/watch?v=Vw2jisSc47M,true,Clip courtesy of Animal Waffle,Segment from Baby Goat Screaming curated 2025-10-16,true,,long multi-bleat steady wavy scream,frantic / chattery,steady|vibrato|multi-bleat|wide-range,C#5,A#5|B5|C6|C#6|D#5,Originals/Baby Goat Screaming [Vw2jisSc47M].mp3,4
ytb-JYEaAehLoQs-c032,The Most Hysterical Screaming and Fainting Goats! (clip 032),viral_video,2019,8,goat|scream|clip,emerging,fair_use,https://www.youtube.com/watch?v=JYEaAehLoQs,true,Clip courtesy of Floofz Inc.,Segment from The Most Hysterical Screaming and Fainting Goats! curated 2025-10-16,true,,long multi-bleat steady wavy scream,alarm,steady|vibrato|multi-bleat|wide-range,D#6,D5|C#5|D4|D6|E5,Originals/The Most Hysterical Screaming and Fainting Goats! [JYEaAehLoQs].mp3,8
