id,title,source_type,year,intensity,tags,meme_status,license_type,license_url,attribution_required,attribution_text,notes,approved,filename,analysis_descriptor,analysis_vibe,analysis_tags,analysis_primary_note,analysis_tones,analysis_source_file,analysis_intensity
gen-elevenlabs-a-comically-loud-11,ElevenLabs — A comically loud,ai_generated,2025,7,ai_generated|generator:elevenlabs|pitch:mid|length:short|prompt:a|prompt:comically|prompt:loud,emerging,generated_ai,https://elevenlabs.io/terms,false,AI-generated with ElevenLabs,AI-generated from filename 11labs_A_comically_loud_but-1760611100899.mp3,true,11labs_A_comically_loud_but-1760611100899.mp3,long multi-bleat steady scream,frantic / chattery,steady|straight-tone|multi-bleat|narrow-range,E4,F4|E4 (primary)|D#4,Generated/11labs_A_comically_loud_but-1760611100899.mp3,7
gen-elevenlabs-a-comically-loud-08,ElevenLabs — A comically loud,ai_generated,2025,6,ai_generated|generator:elevenlabs|pitch:mid|length:short|prompt:a|prompt:comically|prompt:loud,emerging,generated_ai,https://elevenlabs.io/terms,false,AI-generated with ElevenLabs,AI-generated from filename 11labs_A_comically_loud_but_#1-1760611109993.mp3,true,11labs_A_comically_loud_but_#1-1760611109993.mp3,long multi-bleat steady wavy scream,frantic / chattery,steady|vibrato|multi-bleat|narrow-range,A#4,A#4 (primary),Generated/11labs_A_comically_loud_but_#1-1760611109993.mp3,6
gen-elevenlabs-a-comically-loud-a6,ElevenLabs — A comically loud,ai_generated,2025,3,ai_generated|generator:elevenlabs|pitch:mid|length:short|prompt:a|prompt:comically|prompt:loud,emerging,generated_ai,https://elevenlabs.io/terms,false,AI-generated with ElevenLabs,AI-generated from filename 11labs_A_comically_loud_but_#2-1760611109994.mp3,true,11labs_A_comically_loud_but_#2-1760611109994.mp3,long multi-bleat steady wavy scream,frantic / chattery,steady|vibrato|multi-bleat|wide-range,F4,F#4|F5|G4|F4 (primary),Generated/11labs_A_comically_loud_but_#2-1760611109994.mp3,3
gen-elevenlabs-a-comically-loud-e8,ElevenLabs — A comically loud,ai_generated,2025,6,ai_generated|generator:elevenlabs|pitch:mid|length:short|prompt:a|prompt:comically|prompt:loud,emerging,generated_ai,https://elevenlabs.io/terms,false,AI-generated with ElevenLabs,AI-generated from filename 11labs_A_comically_loud_but_#3-1760611109994.mp3,true,11labs_A_comically_loud_but_#3-1760611109994.mp3,long multi-bleat steady wavy scream,frantic / chattery,steady|vibrato|multi-bleat|narrow-range,G#4,F#4|G4|G#4 (primary),Generated/11labs_A_comically_loud_but_#3-1760611109994.mp3,6
gen-elevenlabs-a-goat-screaming-97,ElevenLabs — A goat screaming,ai_generated,2025,7,ai_generated|generator:elevenlabs|pitch:mid|length:short|prompt:a|prompt:goat|prompt:screaming,emerging,generated_ai,https://elevenlabs.io/terms,false,AI-generated with ElevenLabs,AI-generated from filename 11labs_A_goat_screaming_bec-1760610628507.mp3,true,11labs_A_goat_screaming_bec-1760610628507.mp3,medium-length sustained steady wavy scream,dramatic / theatrical,steady|vibrato|single-bleat|narrow-range,D4,D4 (primary),Generated/11labs_A_goat_screaming_bec-1760610628507.mp3,7
gen-elevenlabs-a-goat-screaming-73,ElevenLabs — A goat screaming,ai_generated,2025,3,ai_generated|generator:elevenlabs|pitch:mid|length:short|prompt:a|prompt:goat|prompt:screaming,emerging,generated_ai,https://elevenlabs.io/terms,false,AI-generated with ElevenLabs,AI-generated from filename 11labs_A_goat_screaming_bec_#1-1760610624409.mp3,true,11labs_A_goat_screaming_bec_#1-1760610624409.mp3,medium-length double-bleat steady wavy scream,dramatic / theatrical,steady|vibrato|double-bleat|wide-range,D4,D4 (primary)|F5|D#4,Generated/11labs_A_goat_screaming_bec_#1-1760610624409.mp3,3
gen-elevenlabs-a-goat-screaming-bf,ElevenLabs — A goat screaming,ai_generated,2025,7,ai_generated|generator:elevenlabs|pitch:mid|length:short|prompt:a|prompt:goat|prompt:screaming,emerging,generated_ai,https://elevenlabs.io/terms,false,AI-generated with ElevenLabs,AI-generated from filename 11labs_A_goat_screaming_bec_#2-1760610620258.mp3,true,11labs_A_goat_screaming_bec_#2-1760610620258.mp3,medium-length multi-bleat steady wavy scream,frantic / chattery,steady|vibrato|multi-bleat|wide-range,C5,C5 (primary)|B5|C6,Generated/11labs_A_goat_screaming_bec_#2-1760610620258.mp3,7
gen-elevenlabs-a-goat-screaming-9b,ElevenLabs — A goat screaming,ai_generated,2025,4,ai_generated|generator:elevenlabs|pitch:mid|length:short|prompt:a|prompt:goat|prompt:screaming,emerging,generated_ai,https://elevenlabs.io/terms,false,AI-generated with ElevenLabs,AI-generated from filename 11labs_A_goat_screaming_bec_#3-1760610616560.mp3,true,11labs_A_goat_screaming_bec_#3-1760610616560.mp3,medium-length sustained steady wavy scream,dramatic / theatrical,steady|vibrato|single-bleat|narrow-range,D4,D4 (primary)|C#4,Generated/11labs_A_goat_screaming_bec_#3-1760610616560.mp3,4
gen-elevenlabs-a-goat-stubs-54,ElevenLabs — A goat stubs,ai_generated,2025,6,ai_generated|generator:elevenlabs|pitch:mid|length:medium|prompt:a|prompt:goat|prompt:stubs,emerging,generated_ai,https://elevenlabs.io/terms,false,AI-generated with ElevenLabs,AI-generated from filename 11labs_A_goat_stubs_it's_to_#1-1760610670214.mp3,true,11labs_A_goat_stubs_it's_to_#1-1760610670214.mp3,long sustained steady wavy scream,dramatic / theatrical,steady|vibrato|single-bleat|wide-range,A#4,G5|G#4|A#5|A#4 (primary)|A4,Generated/11labs_A_goat_stubs_it's_to_#1-1760610670214.mp3,6
gen-elevenlabs-a-goat-stubs-83,ElevenLabs — A goat stubs,ai_generated,2025,3,ai_generated|generator:elevenlabs|pitch:mid|length:medium|prompt:a|prompt:goat|prompt:stubs,emerging,generated_ai,https://elevenlabs.io/terms,false,AI-generated with ElevenLabs,AI-generated from filename 11labs_A_goat_stubs_it's_to_#2-1760610678448.mp3,true,11labs_A_goat_stubs_it's_to_#2-1760610678448.mp3,long multi-bleat steady wavy scream,frantic / chattery,steady|vibrato|multi-bleat|wide-range,B4,B4 (primary)|A#4|A#5|B5|G2,Generated/11labs_A_goat_stubs_it's_to_#2-1760610678448.mp3,3
